,Bloque.1,Bloque.2,Individuo,AlturaTallo,DiamTallo,CobVeg_anc,CobVeg_lar
64,B2,4,338,2.3,9.1,22,21
71,B2,4,339,4,9.7,36,25
60,B2,4,340,3.3,7.5,32,16.5
70,B2,4,341,3,6,28,25
59,B2,4,342,4.9,3.5,19.5,14.5
81,B2,4,343,4,11.4,36,36
72,B2,4,344,3.5,7.7,32,26
90,B2,5,345,3,8.4,31,23
87,B2,5,346,2.7,7.3,28,22
92,B2,5,347,4.2,9.1,32,26
97,B2,5,348,2.7,9.2,33,30
83,B2,5,349,3.5,5.5,27,13
101,B2,5,350,3.8,9.8,30,34
94,B2,5,351,3.5,10.3,30,28
86,B2,5,352,4,9.4,27,20
95,B2,5,353,4,9.4,32,29
100,B2,5,354,3.3,10.6,37,33
103,B2,5,355,4.5,10.2,40,34
104,B2,5,356,4.5,11.5,24,36
88,B2,5,357,3,9.5,36,22
105,B2,5,358,4.5,11.5,40,38
93,B2,5,359,3.8,9.5,33,27
102,B2,5,360,3.5,9.6,34,34
89,B2,5,361,3,11.1,38,22
99,B2,5,362,3.5,11.5,34,32
85,B2,5,363,3.2,9.2,31,19
84,B2,5,364,3.2,9.2,31,19
82,B2,5,365,1,7.7,11,4
91,B2,5,366,3.2,7.6,26.5,25
98,B2,5,367,3,9,34,30
96,B2,5,368,4,9.8,32,30
286,B3,7,369,4,11.7,42,35
277,B3,7,370,3.5,8.1,27,17
278,B3,7,370,3,8.5,28.5,17
279,B3,7,371,3.3,9.1,30,22
283,B3,7,372,4.2,11.2,32,29
284,B3,7,372,5.5,11.5,38,30
289,B3,7,373,4,13.7,42,41
288,B3,7,374,5.5,11.3,40,38
291,B3,7,375,4.5,11.4,45,44
285,B3,7,376,4.5,10.4,40,32
287,B3,7,377,4,10.8,39,37
290,B3,7,378,5,12.1,43,41
292,B3,7,379,6,13.1,52,48
281,B3,7,380,3.7,8.4,29,25
282,B3,7,381,3.5,11.7,32.5,28
280,B3,7,383,4.5,11.7,43,22
205,B3,3,384,4,10.3,32,29
204,B3,3,385,3.5,7.1,32,25
200,B3,3,386,4.3,5.3,20,22
196,B3,3,387,4,4.9,21,18
199,B3,3,388,3,7.4,22,21
201,B3,3,389,2,7,24,23
198,B3,3,390,1.8,5.4,24.5,19
194,B3,3,391,1,3.8,14,12
202,B3,3,392,3.2,7.3,31,23
203,B3,3,393,2.5,6.7,25,24
191,B3,3,394,2,3.2,15,7.5
197,B3,3,395,2.5,5.2,12.5,19
195,B3,3,396,1.8,5.1,17,15.5
192,B3,3,397,1,3,12.5,8
193,B3,3,398,2.3,5.2,17.5,11.5
234,B3,5,399,4,13.1,38,28
245,B3,5,400,4.5,11.3,42,38
233,B3,5,401,4.3,11.2,41,27
242,B3,5,402,4.7,11.7,41,37
231,B3,5,403,3.5,10.7,21,21
240,B3,5,404,4.5,13.6,43,35
230,B3,5,405,4,9.7,34,18
235,B3,5,406,4,10.4,32,29
238,B3,5,407,5,10.7,43,32
248,B3,5,408,4.5,14,40,40
247,B3,5,409,4.2,15.1,40,39
249,B3,5,410,4.2,14.4,48,41
241,B3,5,411,4.3,11.3,40,36
251,B3,5,412,4,13.4,44,42
250,B3,5,413,4.7,14.7,48,41
243,B3,5,414,4.3,11.9,38,38
232,B3,5,415,4.8,10.2,30,23
239,B3,5,416,4.5,11.1,36,34
246,B3,5,417,4.5,12.3,39,39
244,B3,5,418,3.3,12.4,39,38
236,B3,5,419,4,12.3,38,31
237,B3,5,420,4.2,10.9,42,32
256,B3,6,421,4,9.2,23,20
267,B3,6,422,3,10.2,32,25
259,B3,6,423,2.5,9.7,28,22
271,B3,6,424,4,9.5,33,28
264,B3,6,425,4.7,10.1,28,23
261,B3,6,426,3.7,8,30,22
258,B3,6,427,3,10.3,27,22
265,B3,6,427,4,9.5,38,23
