"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob","Yesenia","Victor"
"258","B3",6,426,3.7,8,30,22,13,530.929158456675,530.929158456675,2073.45115136926
"259","B3",6,433,3,9.2,27,23,12.5,490.873852123405,490.873852123405,1950.92903787926
"260","B3",6,441,3.7,9.8,28,23,12.75,510.705155749191,510.705155749191,2023.18566891183
"261","B3",6,425,4.7,10.1,28,23,12.75,510.705155749191,510.705155749191,2023.18566891183
"262","B3",6,427,4,9.5,38,23,15.25,730.616641500476,730.616641500476,2745.75197923748
"263","B3",6,444,4.3,10.5,26,24,12.5,490.873852123405,490.873852123405,1960.35381584003
"264","B3",6,422,3,10.2,32,25,14.25,637.939658219577,637.939658219577,2513.27412287183
"265","B3",6,436,4.2,12.3,36,25,15.25,730.616641500476,730.616641500476,2827.43338823081
"266","B3",6,428,4,11.9,33,26,14.75,683.492751696629,683.492751696629,2695.48649678004
"267","B3",6,440,4.2,8.6,33,27,15,706.858347057703,706.858347057703,2799.15905434851
"268","B3",6,424,4,9.5,33,28,15.25,730.616641500476,730.616641500476,2902.83161191697
"269","B3",6,443,4,9,32,30,15.5,754.767635024948,754.767635024948,3015.9289474462
"270","B3",6,431,4.5,9.6,32,31,15.75,779.311327631118,779.311327631118,3116.45991236107
"271","B3",6,435,4,10,34,31,16.25,829.576810088555,829.576810088555,3311.23865688364
"272","B3",6,438,5.2,13,36,35,17.75,989.798035421634,989.798035421634,3958.40674352314
"273","B3",6,437,4.3,10.3,39,39,19.5,1194.59060652752,1194.59060652752,4778.36242611007
"274","B3",7,370,3.5,8.1,27,17,11,380.132711084365,380.132711084365,1441.99102799772
"275","B3",7,370,3,8.5,28.5,17,11.375,406.492636943392,406.492636943392,1522.10164066425
"276","B3",7,371,3.3,9.1,30,22,13,530.929158456675,530.929158456675,2073.45115136926
"277","B3",7,383,4.5,11.7,43,22,16.25,829.576810088555,829.576810088555,2971.94665029594
"278","B3",7,380,3.7,8.4,29,25,13.5,572.55526111674,572.55526111674,2277.6546738526
"279","B3",7,381,3.5,11.7,32.5,28,15.125,718.688406893878,718.688406893878,2858.84931476671
"280","B3",7,372,4.2,11.2,32,29,15.25,730.616641500476,730.616641500476,2915.39798253133
"281","B3",7,372,5.5,11.5,38,30,17,907.92027688745,907.92027688745,3581.41562509236
"282","B3",7,376,4.5,10.4,40,32,18,1017.87601976309,1017.87601976309,4021.23859659494
"283","B3",7,369,4,11.7,42,35,19.25,1164.15642769587,1164.15642769587,4618.141200777
"284","B3",7,377,4,10.8,39,37,19,1134.11494794592,1134.11494794592,4533.31819913007
"285","B3",7,374,5.5,11.3,40,38,19.5,1194.59060652752,1194.59060652752,4775.22083345649
